Ticker,Annual_Return,Year
ATO,-0.1354411788389426,2020
DIS,0.22253708776429393,2020
D,-0.08247928516035273,2020
BR,0.237679741954126,2020
DOC,-0.10243470105934867,2020
DVN,-0.3869716999467806,2020
ED,-0.18669822027159133,2020
ZTS,0.23378560275117766,2020
CPAY,-0.05181762760874711,2020
MMC,0.04417667838844872,2020
AMCR,0.10724368118999893,2020
MNST,0.45180537283036104,2020
ON,0.3060654525040116,2020
EIX,-0.1554180960669844,2020
CSCO,-0.07579509103119102,2020
GOOGL,0.2805331590592903,2020
SBAC,0.181102736425318,2020
PEP,0.09188628371774275,2020
PAYC,0.6639073594973111,2020
PSA,0.09228074295623415,2020
LULU,0.4910033480824503,2020
WEC,0.014999455584166444,2020
LHX,-0.07028672203891213,2020
SNA,0.012662718281943416,2020
CTAS,0.3052918508861525,2020
ACN,0.24296930307666265,2020
SJM,0.1317799017515638,2020
NUE,-0.03501452000318076,2020
PCAR,0.0851465019308576,2020
IVZ,-0.03112837537893844,2020
MET,-0.09046877693871351,2020
LYB,-0.023439132047049612,2020
WST,0.8670751766340021,2020
DTE,-0.05664334656049737,2020
MTB,-0.25586018821818535,2020
RF,-0.05675829752450926,2020
ROST,0.05118544580857435,2020
CMI,0.26645101956140615,2020
LYV,0.022117178756216594,2020
TAP,-0.15595820220460144,2020
WYNN,-0.2142757866617365,2020
V,0.14446421785131447,2020
VZ,-0.03767402564788776,2020
FSLR,0.7281620417240168,2020
ABBV,0.19653822305230637,2020
HAS,-0.11193392870568866,2020
